Channel Name,Subscribers,Views,Total Videos
MBC THE VOICE KIDS,9170000,5663827362,717
Meera Stars,6140000,1441407600,418
Rima,8060000,1972656099,796
banen stars,7020000,467045417,239
يوميات حمدى ووفاء,8150000,3368632201,761
Daily Recitation TV HD,7620000,1415459713,1023
Bessan Ismail - بيسان اسماعيل,11100000,589143331,244
Sherin Amara,6550000,548412113,219
The Folk & Soul Studio,8040000,2161774831,5
WooHoo Arabic,7190000,4492894584,1339
مهووس عضلات /كمال الأجسام,6200000,1027240923,1739
TharProductionPak,8060000,3187743102,15747
Hayla TV,9020000,1286963901,344
Arabian Fairy Tales,7590000,2739055106,689
Supercar Blondie,19000000,8951052784,1152
فافانابولي,6640000,1010395885,330
shfa,42500000,24710420404,1109
shfa2 - شفا,44000000,27226736791,1749
KEDOO СЕРИАЛЫ,4000000,3091441,49
العهد -Söz,5330000,1032825928,1072
Rimmy,4480000,903930560,209
الحب لا يفهم الكلام,5970000,4318761676,2290
Nat Geo Abu Dhabi,5410000,996269012,1578
Cartoon Network MENA,6290000,1328459710,2182
Sara PopFit,6270000,705600445,884
افلام كرتون كيدو,6660000,2392507559,1019
Sonia Barton,4680000,924830667,701
Money Kicks,3880000,205272527,153
Learn with Zakaria - تعلم مع زكريا,5110000,1031209184,465
Aj Art Production - عاج للانتاج الفني,4750000,4097966614,1512
وسيم يوسف - القناة 2 - مقاطع,3750000,205849110,973
Yasmina,4580000,374348218,1887
Arab Idol,5280000,3195407492,976
سكاي نيوز عربية,5460000,2719505195,170459
Ghaith Marwan غيث مروان,6800000,1298382983,321
Haider Tv,5590000,1251700985,1154
OSHA SALAH,6100000,2698507937,918
Qalby Etmaan - قلبي اطمأن,4620000,400236235,489
Sewar & Massa,6650000,4443543457,711
Séan Garnier World freestyle football champion,5520000,1617653441,707
Arabs Got Talent,3840000,1732287318,833
Amr Maskoun | عمرو مسكون,4670000,1170022898,350
Nickelodeon Arabia,5320000,3946490418,1279
صحه - جمال - اعشاب - طبخ,2710000,266120955,405
Jamalouki - جمالكِ,4990000,327287693,1072
TGYM - кращий фітнес канал,2690000,287683247,934
AlHadath الحدث,5590000,2294016835,102932
The Datis,2850000,314144039,434
MBC DRAMA,3270000,3382162157,16533
AWAZ,2750000,128152037,441
Naji Elqaq | ناجي القاق,3660000,410360308,152
Diana and Roma Indonesia,4240000,1377407641,609
Azza Zarour عزة زعرور,3290000,259300569,233
Ayisha Abdul Basith,4010000,594988991,141
Zee Alwan Tv Channel,4010000,1545357682,13095
مغامرات منصور,4170000,3112603525,616
just zize,2660000,0,0
Khmer Fairy Tales,3940000,1539035835,337
Urdu 1 Official,4640000,1228940681,5074
أسرار العارفين,2890000,271015189,540
Indonesian Fairy Tales,4160000,1355026476,690
العاب سندباد _ Sinbad Toys,3200000,1623678927,287
JASON MAKKI,3330000,582202455,308
Joelle Hajj,2700000,105984328,170
G2G,2960000,266827224,827
حريم السلطان - Muhteşem Yüzyıl,3120000,2000314243,1287
Sofia Play,4660000,1599492193,227
Omardizer | عمرديزر,5150000,1052033662,1536
English Fairy Tales,3680000,1057945293,689
One Music Network,2470000,18639828,804
Spanish Fairy Tales,2890000,1079165582,687
Lowi Sahi,2570000,327477709,921
Urdu Fairy Tales,3590000,1216795408,301
Al Aan TV تلفزيون الآن,3670000,1515894710,111241
MBC4,3290000,1568591813,14438
MBC3,4080000,2604579489,8462
Adriana Play,3180000,841292839,243
JDED Music l جديد ميوزك,3440000,1982627002,615
Veena's Curryworld,2560000,583927151,1357
Shahd Naser,2910000,257891464,343
Barhom m3arawi - برهوم معراوي,3820000,537849766,399
MBC DRAMA,3270000,3382162157,16533
AlNojomia l النجومية,2380000,1403368744,77
King Madness,2050000,123016071,56
Ali Al-Hamoudi On Cars,2570000,499312502,504
Disney Junior MENA,3020000,1936827285,3112
TGYM - кращий фітнес канал,2690000,287683247,934
حريم السلطان - Muhteşem Yüzyıl,3120000,2000314243,1287
Shahad,2300000,104606667,66
NOON Channel - قناة نون,2240000,1212621648,1748
Spanish Fairy Tales,2890000,1079165582,687
TeeVee - تي في,2480000,1272917233,2390
Lowi Sahi,2570000,327477709,921
Manal Alalem,2420000,479648385,5124
REDX - ريداكس,2460000,200634482,525
With Khaled,2340000,625634716,971
AWAZ,2750000,128152037,441
Veena's Curryworld,2560000,583927151,1357
One Music Network,2470000,18639828,804
Maitha Abduljalil - ميثاء عبدالجليل,2330000,158477386,1008
Al Aan TV تلفزيون الآن,3670000,1515894710,111241
AZFamily,Arizona News,263000,199720826
عمر عبد الكافي,9570000,1102626430,3587
Mazaj - مزاج,2550000,633803342,1418
shfa show India,26700000,17767001457,546
Siamand & Shahad,8130000,1043976757,274
Noor Stars,20800000,2916232082,709
Hussain Al Jassmi | حسين الجسمي,9560000,4665208820,718
Majd Alzakout,6570000,1797390106,355
